id,duration,dispoStatus,billable,state,words
865,122.04,XFER,1,NY,475
866,200.52,XFER,1,KY,560
867,222.552,XFER,1,WA,648
868,187.344,XFER,0,GA,499
869,129.888,XFER,1,NY,403
870,169.632,XFER,1,OK,487
871,150.552,XFER,1,CA,473
872,169.848,XFER,1,AL,417
873,261.504,XFER,1,FL,818
874,289.584,XFER,1,AR,771
875,131.976,XFER,0,CA,384
876,179.424,XFER,1,IA,490
877,472.968,XFER,1,MO,1228
878,25.128,XFER,0,FL,32
879,255.168,XFER,1,IL,737
880,324.432,XFER,1,TX,838
881,166.68,XFER,1,AR,414
882,198.432,XFER,0,MI,498
883,225.144,XFER,1,FL,746
884,158.976,XFER,1,OH,472
885,316.584,XFER,1,NV,1103
886,186.624,XFER,0,NV,593
887,192.096,XFER,1,IN,459
888,215.784,XFER,1,NY,703
889,219.528,XFER,1,MI,708
890,256.968,XFER,1,SC,704
891,128.952,XFER,1,SC,486
892,269.136,XFER,0,IL,826
893,140.832,XFER,0,IL,480
894,217.728,XFER,1,WA,687
895,463.968,XFER,1,DC,999
896,297.648,XFER,1,MA,882
897,179.712,XFER,0,OR,454
898,41.544,XFER,1,WA,42
899,204.552,XFER,0,KS,583
900,146.52,XFER,1,KY,526
901,259.056,XFER,1,MA,677
902,190.512,XFER,1,MI,427
903,335.736,XFER,1,GA,947
904,195.264,XFER,1,NV,648
905,459.36,XFER,1,NY,1282
906,225.792,XFER,1,PA,672
907,142.992,XFER,0,AR,473
908,228.528,XFER,1,MI,641
909,242.784,XFER,1,GA,642
910,19.512,XFER,0,WI,31
911,230.688,XFER,0,NJ,552
912,520.92,XFER,1,TN,1489
913,42.048,XFER,0,FL,67
914,197.424,XFER,1,MI,471
915,185.904,XFER,1,GA,575
916,147.168,XFER,1,SC,437
917,223.344,XFER,1,CT,606
918,264.96,XFER,1,WA,913
919,98.136,XFER,1,LA,252
920,102.816,XFER,1,UT,319
921,192.744,XFER,1,WA,564
922,158.04,XFER,1,VA,419
923,121.32,XFER,0,IL,313
924,491.904,XFER,1,AR,1222
925,416.376,XFER,1,TN,1179
926,276.12,XFER,1,AL,783
927,328.32,XFER,1,AZ,999
928,158.544,XFER,1,OK,376
929,298.08,XFER,1,TX,962
930,235.512,XFER,1,CO,646
931,184.32,XFER,1,AZ,480
932,304.128,XFER,1,NC,732
933,240.912,XFER,1,NM,606
934,134.352,XFER,0,WI,362
935,283.464,XFER,1,MA,838
936,161.568,XFER,0,FL,500
937,172.512,XFER,0,#NA,410
938,424.296,XFER,1,PA,1201
939,563.688,XFER,1,MO,1944
940,14.184,XFER,0,VA,19
941,205.848,XFER,1,NY,525
942,334.872,XFER,1,NC,974
943,119.808,XFER,1,AZ,369
944,395.352,XFER,1,OH,1302
945,287.064,XFER,1,GA,899
946,186.336,XFER,1,LA,475
947,173.448,XFER,1,TX,537
948,227.592,XFER,1,IN,545
949,143.856,XFER,1,GA,340
950,133.056,XFER,1,WA,435
951,128.52,XFER,1,LA,360
952,317.304,XFER,1,MI,1120
953,511.2,XFER,1,SC,1298
954,218.808,XFER,1,FL,640
955,122.832,XFER,0,CO,369
956,208.152,XFER,1,TX,469
957,198.864,XFER,1,HI,627
958,114.192,XFER,1,GA,440
959,142.704,XFER,1,KS,464
960,248.472,XFER,1,IN,798
961,135.576,XFER,1,LA,355
962,233.136,XFER,1,IN,689
963,478.584,XFER,1,KY,1379
964,149.544,XFER,1,TX,423
965,395.208,XFER,0,AL,1093
966,133.776,XFER,1,MA,367
967,55.008,XFER,0,NY,56
968,100.44,XFER,1,IL,342
969,135.216,XFER,1,CA,409
970,198.576,XFER,1,TN,618
971,320.832,XFER,1,VA,877
972,216.072,XFER,1,TN,618
973,329.544,XFER,1,NJ,885
974,204.84,XFER,1,HI,564
975,318.96,XFER,1,IA,754
976,230.616,XFER,1,TN,671
977,411.624,XFER,1,LA,1329
978,294.336,XFER,1,SC,815
979,216.936,XFER,1,KS,662
980,282.168,XFER,1,TX,785
981,207.432,XFER,1,PA,712
982,235.584,XFER,1,SC,635
983,122.328,XFER,1,AL,388
984,166.896,XFER,1,FL,447
985,28.872,XFER,0,CO,46
986,70.128,XFER,1,FL,121
987,296.352,XFER,1,IL,982
988,167.904,XFER,1,NY,430
989,21.168,XFER,0,NY,39
990,114.048,XFER,0,NY,328
991,304.92,XFER,1,SC,868
992,319.464,XFER,1,AR,931
993,130.104,XFER,1,MS,402
994,240.984,XFER,1,MO,588
995,299.736,XFER,1,CA,735
996,238.464,XFER,1,PA,812
997,250.128,XFER,1,OR,826
998,208.368,XFER,1,NJ,640
999,529.272,XFER,1,KY,1565
1000,206.208,XFER,0,NC,595
1001,336.6,XFER,1,WA,993
1002,217.584,XFER,0,NH,705
1003,250.632,XFER,1,NY,880
1004,294.696,XFER,1,AR,1002
1005,252,XFER,1,AL,690
1006,282.24,XFER,1,CT,670
1007,229.104,XFER,1,NY,711
1008,62.496,XFER,1,CA,70
1009,20.088,XFER,0,NY,29
1010,157.896,XFER,1,HI,427
1011,206.136,XFER,0,FL,597
1012,391.968,XFER,1,IA,1163
1013,191.232,XFER,1,CT,588
1014,395.352,XFER,1,NY,993
1015,322.344,XFER,1,MI,794
1016,230.472,XFER,1,MS,580
1017,121.752,XFER,1,FL,347
1018,231.048,XFER,1,KS,749
1019,479.016,XFER,1,MI,1473
1020,397.152,XFER,1,NY,1245
1021,347.832,XFER,1,KY,1027
1022,168.048,XFER,1,IA,458
1023,156.528,XFER,1,GA,421
1024,190.08,XFER,1,CO,461
1025,71.712,XFER,1,NY,114
1026,196.272,XFER,0,HI,523
1027,239.976,XFER,0,NC,725
1028,207.288,XFER,1,FL,574
1029,328.248,XFER,1,NC,941
1030,207.144,XFER,1,KY,603
1031,138.312,XFER,1,AZ,306
1032,208.368,XFER,1,MN,672
1033,236.592,XFER,1,MI,498
1034,358.632,XFER,1,TN,1024
1035,319.032,XFER,1,KY,890
1036,239.112,XFER,1,WA,777
1037,335.376,XFER,1,TX,899
1038,238.752,XFER,1,GA,666
1039,212.112,XFER,1,KY,578
1040,215.64,XFER,1,HI,605
1041,254.304,XFER,1,HI,662
1042,241.56,XFER,1,MS,673
1043,335.304,XFER,1,NE,1008
1044,258.048,XFER,0,FL,849
1045,234,XFER,1,AR,804
1046,290.448,XFER,1,FL,828
1047,168.696,XFER,0,CO,477
1048,130.464,XFER,1,MI,375
1049,331.56,XFER,1,NJ,809
1050,118.008,XFER,1,ME,351
1051,201.528,XFER,1,NY,602
1052,237.24,XFER,1,AZ,770
1053,298.8,XFER,1,AR,856
1054,138.6,XFER,1,AL,438
1055,353.016,XFER,1,FL,1251
1056,246.528,XFER,0,MS,709
1057,348.192,XFER,1,FL,885
1058,130.824,XFER,1,PA,436
1059,162.864,XFER,1,OK,434
1060,172.584,XFER,1,FL,504
1061,211.824,XFER,1,OH,679
1062,132.984,XFER,0,GA,385
1063,119.448,XFER,1,OK,380
1064,333.648,XFER,1,IN,1013
1065,25.704,XFER,0,TX,29
1066,271.656,XFER,1,FL,865
1067,319.176,XFER,1,NC,981
1068,128.808,XFER,0,UT,386
1069,294.984,XFER,1,TN,821
1070,286.56,XFER,1,VA,745
1071,107.712,XFER,1,AR,284
1072,240.264,XFER,0,NC,709
1073,270.288,XFER,1,HI,655
1074,152.424,XFER,1,TX,424
1075,170.064,XFER,0,OH,418
1076,264.744,XFER,1,FL,726
1077,79.704,XFER,1,TX,202
1078,164.304,XFER,1,MS,368
1079,173.664,XFER,0,IL,488
1080,504.072,XFER,1,PA,1428
1081,173.664,XFER,1,AZ,537
1082,271.44,XFER,0,NY,767
1083,152.928,XFER,1,ID,412
1084,279.432,XFER,1,CT,872
1085,127.152,XFER,1,WI,321
1086,316.728,XFER,0,NV,937
1087,279.144,XFER,1,SC,827
1088,261.36,XFER,1,IL,749
1089,73.584,XFER,0,NY,80
1090,313.848,XFER,1,IL,1014
1091,283.032,XFER,1,TN,904
1092,172.512,XFER,1,NY,530
1093,39.6,XFER,0,NY,40
1094,213.192,XFER,1,WV,624
1095,225.432,XFER,1,NV,644
1096,315.504,XFER,0,KY,1006
1097,288.36,XFER,1,FL,705
1098,266.472,XFER,1,IL,822
1099,147.024,XFER,1,FL,402
1100,42.408,XFER,1,PA,65
1101,245.088,XFER,1,NY,878
1102,380.664,XFER,1,FL,1055
1103,181.368,XFER,1,TX,559
1104,360.216,XFER,0,WA,826
1105,282.6,XFER,1,IN,766
1106,376.056,XFER,1,PA,1200
1107,325.296,XFER,1,TX,910
1108,349.344,XFER,1,WA,1026
1109,190.656,XFER,1,WA,594
1110,217.152,XFER,1,WI,683
1111,285.624,XFER,1,GA,645
1112,15.048,XFER,1,OR,15
1113,129.744,XFER,1,IN,345
1114,411.624,XFER,1,WV,1103
1115,311.184,XFER,0,RI,988
1116,148.032,XFER,0,FL,451
1117,191.592,XFER,1,IL,545
1118,139.896,XFER,1,AZ,411
1119,211.896,XFER,1,IL,521
1120,46.368,XFER,1,FL,87
1121,197.856,XFER,0,NC,391
1122,302.544,XFER,1,PA,932
1123,45.36,XFER,1,CT,85
1124,210.384,XFER,1,IL,603
1125,140.976,XFER,1,NJ,391
1126,297.864,XFER,1,WA,958
1127,286.776,XFER,0,AR,857
1128,126.72,XFER,1,TN,357
1129,137.952,XFER,1,TN,413
1130,380.952,XFER,1,AZ,1060
1131,106.704,XFER,1,GA,322
1132,348.48,XFER,1,PA,920
1133,358.992,XFER,1,FL,959
1134,408.744,XFER,1,HI,1295
1135,173.232,XFER,1,AZ,514
1136,310.248,XFER,1,WI,769
1137,213.336,XFER,0,NC,554
1138,50.76,XFER,0,IA,135
1139,105.768,XFER,1,NY,310
1140,301.896,XFER,1,TX,911
1141,224.784,XFER,1,TX,688
1142,295.776,XFER,1,MN,796
1143,112.752,XFER,1,MO,390
1144,187.488,XFER,0,MI,529
1145,46.368,XFER,0,LA,76
1146,119.448,XFER,1,TX,425
1147,188.136,XFER,1,OK,537
1148,200.52,XFER,1,MO,550
1149,242.064,XFER,1,TN,640
1150,278.064,XFER,0,OR,847
1151,343.584,XFER,1,FL,1202
1152,61.272,XFER,1,OH,209
1153,67.824,XFER,1,NY,166
1154,298.152,XFER,1,FL,778
1155,190.872,XFER,1,PA,169
1156,351.864,XFER,1,OH,904
1157,277.2,XFER,0,TN,982
1158,276.768,XFER,1,MI,813
1159,23.832,XFER,0,FL,31
1160,195.048,XFER,1,CT,549
1161,350.928,XFER,1,VA,920
1162,134.136,XFER,1,NC,393
1163,247.032,XFER,1,NY,696
1164,347.544,XFER,1,CT,1168
1165,217.728,XFER,1,KS,619
1166,97.992,XFER,1,VA,304
1167,452.304,XFER,1,NY,1231
1168,329.688,XFER,1,NE,1226
1169,169.128,XFER,1,MA,490
1170,271.296,XFER,1,NY,888
1171,84.672,XFER,1,NC,255
1172,313.848,XFER,1,AL,1065
1173,283.392,XFER,1,NY,863
1174,265.536,XFER,1,NJ,703
1175,246.168,XFER,1,GA,595
1176,284.112,XFER,1,GA,762
1177,466.992,XFER,1,WV,1439
1178,533.448,XFER,1,PA,1679
1179,197.352,XFER,1,NY,609
1180,312.84,XFER,0,FL,798
1181,277.128,XFER,1,LA,845
1182,245.736,XFER,1,LA,615
1183,170.064,XFER,1,ID,511
1184,146.304,XFER,1,FL,491
1185,217.296,XFER,1,NY,635
1186,279.504,XFER,1,AZ,835
1187,207.792,XFER,1,FL,527
1188,140.472,XFER,1,NY,382
1189,243.144,XFER,1,IL,890
1190,344.016,XFER,1,KS,1016
1191,157.896,XFER,1,KY,467
1192,136.368,XFER,0,MI,421
1193,230.76,XFER,1,TN,685
1194,240.624,XFER,0,GA,778
1195,248.616,XFER,0,TX,727
1196,169.416,XFER,0,MI,580
1197,91.152,XFER,0,NC,247
1198,217.368,XFER,1,AR,465
1199,235.872,XFER,1,TX,617
1200,336.888,XFER,1,MS,1158
1201,337.896,XFER,0,KY,898
1202,244.8,XFER,1,NY,912
1203,226.512,XFER,1,NY,842
1204,176.256,XFER,1,MI,434
1205,129.6,XFER,0,TN,385
1206,175.824,XFER,1,OR,464
1207,56.664,XFER,1,NY,86
1208,396.648,XFER,1,FL,1282
1209,131.328,XFER,0,NY,376
1210,287.712,XFER,1,AR,1062
1211,512.28,XFER,1,NY,1567
1212,234.288,XFER,1,TX,698
1213,139.608,XFER,1,TX,450
1214,221.472,XFER,0,TX,667
1215,163.728,XFER,1,DC,422
1216,188.784,XFER,0,AZ,512
1217,258.336,XFER,1,PA,705
1218,374.76,XFER,1,NY,949
1219,171.288,XFER,0,OH,476
1220,129.672,XFER,1,MO,439
1221,207.72,XFER,1,OK,675
1222,320.4,XFER,0,NC,823
1223,216.864,XFER,1,OK,642
1224,202.752,XFER,0,TX,612
1225,363.024,XFER,1,MI,1127
1226,329.904,XFER,0,NE,950
1227,206.208,XFER,1,IN,496
1228,333.864,XFER,1,NY,942
1229,129.384,XFER,1,TX,370
1230,378.504,XFER,1,TX,1292
1231,192.24,XFER,1,NY,399
1232,277.416,XFER,1,NY,870
1233,36.144,XFER,0,GA,76
1234,210.528,XFER,1,MI,692
1235,320.688,XFER,1,FL,829
1236,333.936,XFER,1,AZ,976
1237,205.992,XFER,1,VA,422
1238,305.712,XFER,1,IN,1007
1239,206.712,XFER,0,FL,625
1240,23.616,XFER,0,FL,26
1241,346.896,XFER,1,NY,700
1242,206.352,XFER,0,FL,628
